//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
√             √             √             &#8730;         &#x221A;        &radic;         radical         square root = radical sign, U+221A ISOtech
∝             ∝             ∝             &#8733;         &#x221D;        &prop;          proportional    proportional to, U+221D ISOtech
∞             ∞             ∞             &#8734;         &#x221E;        &infin;         infinity        infinity, U+221E ISOtech
∠             ∠             ∠             &#8736;         &#x2220;        &ang;           angle           angle, U+2220 ISOamso
∧             ∧             ∧             &#8743;         &#x2227;        &and;           logicaland      logical and = wedge, U+2227 ISOtech
∨             ∨             ∨             &#8744;         &#x2228;        &or;            logicalor       logical or = vee, U+2228 ISOtech
∩             ∩             ∩             &#8745;         &#x2229;        &cap;           intersection    intersection = cap, U+2229 ISOtech
∪             ∪             ∪             &#8746;         &#x222A;        &cup;           union           union = cup, U+222A ISOtech
∫             ∫             ∫             &#8747;         &#x222B;        &int;           integral        integral, U+222B ISOtech
∴             ∴             ∴             &#8756;         &#x2234;        &there4;        therefore       therefore, U+2234 ISOtech
∼             ∼             ∼             &#8764;         &#x223C;        &sim;           similar
                                                                                          tildeoperator   tilde operator = varies with = similar to, U+223C ISOtech [tilde operator is NOT the same character as the tilde, U+007E, although the same glyph might be used to represent both]
≅             ≅             ≅             &#8773;         &#x2245;        &cong;          approximatelyequal
                                                                                          congruent       approximately equal to, U+2245 ISOtech
≈             ≈             ≈             &#8776;         &#x2248;        &asymp;         approxequal     almost equal to = asymptotic to, U+2248 ISOamsr
≠             ≠             ≠             &#8800;         &#x2260;        &ne;            notequal        not equal to, U+2260 ISOtech
